"Station","Date.local.","Tmax.C.","Period.Hrs.","Tmin.C.","Period.Hrs..1","Tgmin.C.","Period.Hrs..2","Tmean.C.","RHmean...","Period.Hrs..3","Freq"
"Dunedin, Musselburgh Ews","20000101:0900",18.6,24,13.7,24,11.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000102:0900",17.7,24,12.6,24,14.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000103:0900",12.7,24,9.5,24,9.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000104:0900",10.6,24,8.1,24,NA,NA,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000105:0900",12.9,24,7.9,24,6.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000106:0900",14.8,24,9.5,24,7.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000107:0900",15.1,24,10.9,24,10,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000108:0900",16.8,24,10.2,24,12.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000109:0900",13.8,24,8.1,24,6.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000110:0900",16.2,24,10.4,24,12,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000111:0900",13.9,24,10.2,24,9.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000112:0900",15.4,24,10.8,24,9.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000113:0900",18.8,24,11,24,7.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000114:0900",16.9,24,12.6,24,12.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000115:0900",15.4,24,13.3,24,12.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000116:0900",16.9,24,13.2,24,9.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000117:0900",19.1,24,12.5,24,8.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000118:0900",20.1,24,11.7,24,12.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000119:0900",13.6,24,9.2,24,5.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000120:0900",16.9,24,12,24,13.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000121:0900",19.7,24,14.5,24,11.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000122:0900",25.6,24,15.3,24,14.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000123:0900",23,24,13.6,24,9.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000124:0900",20.9,24,10.5,24,10.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000125:0900",13.1,24,8.1,24,6.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000126:0900",14.8,24,8.5,24,8.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000127:0900",14.1,24,6.6,24,3.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000128:0900",17,24,13,24,12.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000129:0900",18,24,11,24,7.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000130:0900",18,24,13.6,24,13.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000131:0900",18.6,24,11,24,10.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000201:0900",13.1,24,8.4,24,5.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000202:0900",16.1,24,6.9,24,4.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000203:0900",13,24,7.8,24,5.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000204:0900",15.6,24,10.4,24,10.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000205:0900",18.2,24,12.2,24,13.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000206:0900",23.5,24,13.3,24,14,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000207:0900",18.1,24,9.8,24,6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000208:0900",22.4,24,12.6,24,10.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000209:0900",21.2,24,12,24,7.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000210:0900",27.4,24,12,24,11.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000211:0900",17.1,24,12.2,24,11.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000212:0900",22.8,24,17,24,13.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000213:0900",24.2,24,17.3,24,13.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000214:0900",23.6,24,11,24,11.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000215:0900",13.6,24,11.2,24,10.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000216:0900",15.9,24,13,24,14.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000217:0900",17.9,24,14.2,24,14,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000218:0900",15.9,24,12.1,24,12.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000219:0900",16.4,24,8.7,24,6.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000220:0900",18.5,24,12.4,24,10.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000221:0900",23.7,24,12.2,24,12.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000222:0900",16.5,24,9.1,24,7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000223:0900",16.2,24,10.9,24,8.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000224:0900",16.8,24,9.2,24,6.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000225:0900",24,24,12.6,24,9.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000226:0900",20.8,24,10.9,24,8.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000227:0900",20.9,24,12.1,24,10.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000228:0900",23.9,24,9.5,24,5.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000229:0900",20.4,24,13.1,24,9.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000301:0900",20,24,11.2,24,10.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000302:0900",15.5,24,9.3,24,4.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000303:0900",15.9,24,11.3,24,9.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000304:0900",20,24,13.6,24,11.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000305:0900",22.4,24,12.9,24,9.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000306:0900",19.6,24,12.7,24,10.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000307:0900",17,24,9.5,24,6.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000308:0900",14.7,24,8.7,24,3.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20000309:0900",19.4,24,9.5,24,6.4,24,NA,NA,NA,"D"
